SKU,Quantity In Stock,Clearance,Wholesale Price,Retail Price,MAP Minimum Advertised Price,Maximum Order Quantity,UPC,MPN,GTIN,Amazon,Walmart,Ebay,Pet Category,Sub Category,Product Title,Size,Variant Name,Description,Brand,Condition,Product Count,Length,Width,Height,Weight,Picture URLs,Image Count,Color,Shopify Handle,Product URL
WW30092,243,Clearance,8.93,21.99,0,,029904300924,70092,29904300924,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Aquarium Supplies,"Aquarium Gravel and Sand, Pure Water Pebbles",Pure Water Pebbles Aquarium Gravel Cumberland River Gems,2 lb,2 lb Pure Water Pebbles Aquarium Gravel Cumberland River Gems,"<p>Pure Water Pebbles Freshwater Aquarium Substrate contains all natural gravel with a fish-safe 100% acrylic coating. These attractive pebbles are non-toxic, colorfast, and will not alter the chemistry of your aquarium water.</p><ul><li>Gravel Grain Size 6.3 - 9.5 mm</li><li>Premium freshwater aquarium substrate</li><li>Natural gravel with 100% acrylic coating</li><li>Non-toxic, colorfast, will not alter water chemistry</li></ul><p>Pure Water Pebbles are recommended for aquariums, ponds, terrariums, gardens, potted plants, vases, ash trays, crafts and hobbies, architectural surfaces, landscaping designs, and more! Be sure to check out all of the colors available to find the perfect gravel for your needs.</p>",Pure Water Pebbles,NEW,1,8,5,0.5,2,ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/ww30092__1.jpg,1,Brown,pure-water-pebbles-aquarium-gravel-cumberland-river-gems,https://www.petwholesaleusa.com/products/pure-water-pebbles-aquarium-gravel-cumberland-river-gems
ZM11908,242,,1.2,2.99,0,,097612119084,BB-8,97612119084,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Aquarium Supplies,"Aquarium Bottom Feeder Food, Aquarium Top Sellers, Zoo Med",Zoo Med Pleco Banquet Block Time Release Food for Suckermouth Type Catfish,1 count,1 count Zoo Med Pleco Banquet Block Time Release Food for Suckermouth Type Catfish,"<p>The Zoo Med Aquatic Pleco Banquet Block is a time-release food block made especially for Suckermouth-type Catfish. Made with algae and wood fiber necessary for the long-term health of your aquarium fish, this slow-release block is great as a vacation feeder.</p><ul><li>Time-release food block made specifically for Suckermouth-type Catfish</li><li>Contains algae and wood fiber for long term fish health</li><li>Allows bottom feeders to wear mouth parts naturally</li><li>Each Pleco Banquet Block is 0.45 oz (12.8 grams)</li></ul><p>These feeder blocks act as effective supplemental food sources for difficult feeders and allow bottom feeders to naturally achieve healthy wear for their mouth parts.</p><p>Made in the USA.</p><p>Feeding Instructions: Place on Pleco Banquet Block per 2-3 small catfish or one medium to large size catfish being fed. Add multiple Pleco Blocks if you notice aggression during feeding time. Can be used for fresh or saltwater fish. Lasts one week. Approximate shelf life: 3 years.</p><p>Ingredients: Calcium Sulfate, Plankton, Powdered Cellulose, Spirulina Algae, Magnesium Sulfate, Dicalcium Phosphate, Niacin, L-Ascorbyl-2-Polyphosphate (stabilized Vitamin C), Thiamine Hydrochloride, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Biotin, Beta Carotene.</p><p>Guaranteed Analysis:<br>Crude Protein (min) - 1.0%<br>Crude Fat (min) - 0.25%<br>Crude Fiber (max) - 4.0%<br>Moisture (max) - 18.0%<br>Calcium (min) - 32.0%<br>Calcium (max) - 28.0%.</p>",Zoo Med,NEW,1,7,4.25,0.75,0.06,"ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/zm11908__1.jpg,ITEMIMAGEURL2=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/zm11908__2.jpg",2,,zoo-med-pleco-banquet-block-time-release-food-for-suckermouth-type-catfish,https://www.petwholesaleusa.com/products/zoo-med-pleco-banquet-block-time-release-food-for-suckermouth-type-catfish
WW70025,238,Clearance,10.77,21.99,0,,029904700250,70015,29904700250,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Aquarium Supplies,"Aquarium Gravel and Sand, Pure Water Pebbles",Pure Water Pebbles Aquarium Gravel Daffodil,5 lb,5 lb Pure Water Pebbles Aquarium Gravel Daffodil,"<p>Pure Water Pebbles Freshwater Aquarium Substrate contains all natural gravel with a fish-safe 100% acrylic coating. These attractive pebbles are non-toxic, colorfast, and will not alter the chemistry of your aquarium water.</p><ul><li>Gravel Grain Size 3.1 - 6.3 mm</li><li>Premium freshwater aquarium substrate</li><li>Natural gravel with 100% acrylic coating</li><li>Non-toxic, colorfast, will not alter water chemistry</li></ul><p>Pure Water Pebbles are recommended for aquariums, ponds, terrariums, gardens, potted plants, vases, ash trays, crafts and hobbies, architectural surfaces, landscaping designs, and more! Be sure to check out all of the colors available to find the perfect gravel for your needs.</p>",Pure Water Pebbles,NEW,1,12,8,1.5,5,ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/ww70025__1.jpg,1,Yellow,pure-water-pebbles-aquarium-gravel-daffodil,https://www.petwholesaleusa.com/products/pure-water-pebbles-aquarium-gravel-daffodil
WW30095,231,Clearance,11.75,23.99,0,,029904300955,30115,29904300955,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Aquarium Supplies,"Aquarium Gravel and Sand, Pure Water Pebbles",Pure Water Pebbles Aquarium Gravel Cumberland River Gems,5 lb,5 lb Pure Water Pebbles Aquarium Gravel Cumberland River Gems,"<p>Pure Water Pebbles Freshwater Aquarium Substrate contains all natural gravel with a fish-safe 100% acrylic coating. These attractive pebbles are non-toxic, colorfast, and will not alter the chemistry of your aquarium water.</p><ul><li>Gravel Grain Size 6.3 - 9.5 mm</li><li>Premium freshwater aquarium substrate</li><li>Natural gravel with 100% acrylic coating</li><li>Non-toxic, colorfast, will not alter water chemistry</li></ul><p>Pure Water Pebbles are recommended for aquariums, ponds, terrariums, gardens, potted plants, vases, ash trays, crafts and hobbies, architectural surfaces, landscaping designs, and more! Be sure to check out all of the colors available to find the perfect gravel for your needs.</p>",Pure Water Pebbles,NEW,1,12,8,1.5,5,ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/ww30095__1.jpg,1,Brown,pure-water-pebbles-aquarium-gravel-cumberland-river-gems,https://www.petwholesaleusa.com/products/pure-water-pebbles-aquarium-gravel-cumberland-river-gems
WE01003,230,Clearance,0.05,0.99,0,,028023010035,1003,28023010035,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Aquarium Supplies,"Aquarium Fish Nets, Aquarium Clearance, Weco",Weco Fine Mesh Fish Net for Aquariums,"3"" net - 1 count","3"" net - 1 count Weco Fine Mesh Fish Net for Aquariums","<p>Weco Fine Mesh Nets are ideally suited for handling delicate aquarium fish and skimming debris from the water. Weco nets use only the highest quality mesh for a difference you can see and feel, with an extra-thick twisted wire handle thats easy to grip and comfortable to hold.</p><ul><li>Fine mesh net for handling delicate fish and skimming debris</li><li>Highest quality mesh, you can see and feel the difference</li><li>Thicker twisted wire creates a stronger, more rigid net</li><li>All nets include a convenient net holder.</li></ul>",Weco,NEW,1,9.85,3.35,0.25,0.2,ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/we01003__1.jpg,1,,weco-fine-mesh-fish-net-for-aquariums,https://www.petwholesaleusa.com/products/weco-fine-mesh-fish-net-for-aquariums
S14505,227,,1.72,4.99,0,,010838145057,14505,10838145057,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Pond Supplies,"Aquarium Airline and Valves, Pond Airline and Bubblers, Lees",Lees Airline Tubing for Aquariums,8 feet,8 feet Lees Airline Tubing for Aquariums,"<p>Lees Aquarium Airline Tubing comes in multiple lengths to meet virtually any aquarium need. This flexible standard airline tubing is great for use with air pumps, bubbler decorations and more.</p><ul><li>Standard kink-resistant clear tubing</li><li>Great for use with air pumps, bubblers and more</li><li>Multiple lengths suit a variety of aquarium applications</li></ul><p>Made in the USA.</p><p>Airline Tubing Dimensions: 0.165"" ID and 0.225"" OD.</p>",Lees,NEW,1,0.63,3,9,0.096,"ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/s14505__1.jpg,ITEMIMAGEURL2=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/s14505__2.jpg",2,,lees-airline-tubing-for-aquariums,https://www.petwholesaleusa.com/products/lees-airline-tubing-for-aquariums
K33111,225,Clearance,0.05,0.99,0,,048054331114,33111,48054331114,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Aquarium Supplies,"Aquarium Water Conditioners, Kordon",Kordon NovAqua Plus Water Conditioner,1 oz,1 oz Kordon NovAqua Plus Water Conditioner,"<p>Kordon NovAqua Plus will help protect the health of both fishes and invertebrates by inhibiting viruses and harmful bacteria, and by providing an immune system booster and a protective body slime replacer.</p><ul><li>Provides a protective skin slime coat</li><li>Contains organic immune health aids</li><li>Adds electrolytes and vitamins</li><li>Provides an organic virus inhibitor</li><li>Removes chlorine and toxic metals</li><li>Breaks down chloramines</li></ul><p>In addition, NovAqua Plus adds electrolytes needed for proper osmotic balance, and detoxifies tap water by removing all chlorine, balancing alkalinity, and helping stabilize water pH. NovAqua Plus will not harm plants, beneficial bacteria or biological filters contains no phosphates, and will not contaminate ground or wastewater.</p><p>The manufacturer states, for any Kordon water conditioners, including the NovAqua products, they are ""Nontoxic to humans, pets, and aquatic life."" This is included on most of their product labels as well.</p><p>1 oz - Treats 60 Gallons<br>4 oz - Treats 240 Gallons<br>8 oz - Treats 480 Gallons<br>16 oz - Treats 960 Gallons<br>1 Gallon - Treats 7,693 Gallons<br>5 Gallons - Treats 38,400 Gallons.</p>",Kordon,NEW,1,1.5,1,4.5,0.1,ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/k33111__1.jpg,1,,kordon-novaqua-plus-water-conditioner,https://www.petwholesaleusa.com/products/kordon-novaqua-plus-water-conditioner
K31111,216,,0.05,0.99,0,,048054311116,31111,48054311116,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Aquarium Supplies,"Aquarium Water Conditioners, Aquarium Clearance, Kordon",Kordon NovAqua Water Conditioner for Freshwater and Saltwater Aquariums,1 oz,1 oz Kordon NovAqua Water Conditioner for Freshwater and Saltwater Aquariums,"<p>Kordon NovAqua provides a protective colloid coating on a fishs body when the natural slime has been removed due to injury, disease or rough handling.</p><ul><li>Adds protective skin slime to fish</li><li>Water conditioner for freshwater and saltwater aquariums</li><li>Detoxifies chlorine and Chloramines from tap water and removes toxic metals</li></ul><p>The coating acts like an invisible bandage, providing a barrier against serious loss of internal fluids and electrolytes and protects damaged areas of the body against external toxins and disease-causing organisms.</p><p>Kordon NovAqua aids in concentrating certain drugs and antibacterial at the diseased or damaged site. NovAqua detoxifies heavy metals and is capable of eliminating free copper ions from solution.</p><p>Each ounce treats 60 gallons of water. Amquel protects pond fishes and invertebrates by quick elimination, in a true single step-action three of the most toxic chemicals commonly found in water.</p><p>1 oz - Treats 60 Gallons<br>4 oz - Treats 240 Gallons<br>8 oz - Treats 480 Gallons<br>16 oz - Treats 960 Gallons<br>1 Gallon - Treats 7,693 Gallons<br>5 Gallons - Treats 38,400 Gallons<br>.</p>",Kordon,NEW,1,1.5,1,4.5,0.1,ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/k31111__1.jpg,1,,kordon-novaqua-water-conditioner-for-freshwater-and-saltwater-aquariums,https://www.petwholesaleusa.com/products/kordon-novaqua-water-conditioner-for-freshwater-and-saltwater-aquariums
ZO00715,207,Clearance,0.75,1.99,0,,628142000000,715,6.28E+11,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Bird Supplies,"Bird Chew Toys, Bird Interactive Toys, Bird Top Sellers, Zoo-Max","Zoo-Max Groovy Pieces 1"" Blocks Bird Toy",12 count,"12 count Zoo-Max Groovy Pieces 1"" Blocks Bird Toy","<p>Studies have shown that toys play a critical role in keeping exotic birds healthy. The Zoo-Max Groovy Blocks parrot toy is great for rejuvenating a birds existing toy or for you to use to invent your own. Each groovy block has a hole drilled through the center so you can easily fasten them onto lengths of rope or chain. The grooves mean you can wedge foods, treats and materials inside them for foraging which helps to reduce your birds boredom.</p><ul><li>Non-toxic</li><li>Made of soft wood</li><li>Great for foraging</li><li>Reduces boredom</li>",Zoo-Max,NEW,1,5.5,6,1.5,0.38,ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/zo00715__1.jpg,1,,zoo-max-groovy-pieces-1-inch-blocks-bird-toy,https://www.petwholesaleusa.com/products/zoo-max-groovy-pieces-1-inch-blocks-bird-toy
WW70012,203,Clearance,10.63,21.99,0,,029904700120,70012,29904700120,Allowed by Manufacturer,Allowed by Manufacturer,Allowed by Manufacturer,Aquarium Supplies,"Aquarium Gravel and Sand, Pure Water Pebbles",Pure Water Pebbles Aquarium Gravel Snow White,2 lb,2 lb Pure Water Pebbles Aquarium Gravel Snow White,"<p>Pure Water Pebbles Freshwater Aquarium Substrate contains all natural gravel with a fish-safe 100% acrylic coating. These attractive pebbles are non-toxic, colorfast, and will not alter the chemistry of your aquarium water.</p><ul><li>Gravel Grain Size 3.1 - 6.3 mm</li><li>Premium freshwater aquarium substrate</li><li>Natural gravel with 100% acrylic coating</li><li>Non-toxic, colorfast, will not alter water chemistry</li></ul><p>Pure Water Pebbles are recommended for aquariums, ponds, terrariums, gardens, potted plants, vases, ash trays, crafts and hobbies, architectural surfaces, landscaping designs, and more! Be sure to check out all of the colors available to find the perfect gravel for your needs.</p>",Pure Water Pebbles,NEW,1,8,5,0.5,2,ITEMIMAGEURL1=https://d3d71ba2asa5oz.cloudfront.net/12048233/images/ww70012__1.jpg,1,White,pure-water-pebbles-aquarium-gravel-snow-white,https://www.petwholesaleusa.com/products/pure-water-pebbles-aquarium-gravel-snow-white
